Year,Month,WMT,IBM,SO,LMT
2017,8,-0.017863679,-0.000890374,0.018948716,0.051601892
2017,9,0.000896545,0.014332566,0.018234267,0.016045088
2017,10,0.117353491,0.061896782,0.062271063,-0.006864521
2017,11,0.113618153,0.009405352,-0.008080486,0.042063278
2017,12,0.020985585,-0.003571865,-0.060742334,0.006048018
2018,1,0.079493654,0.067005472,-0.061967015,0.105279332
2018,2,-0.155628573,-0.03870348,-0.032855979,-0.001214278
2018,3,-0.005660996,-0.015401086,0.037157428,-0.041170139
2018,4,-0.005732495,-0.05520468,0.032691587,-0.050572724
2018,5,-0.061044423,-0.014358021,-0.012874792,-0.013489999
2018,6,0.037678578,-0.01139316,0.031403056,-0.060755586
2018,7,0.041798209,0.03743744,0.049449379,0.103814764
2018,8,0.080541813,0.021613851,-0.087652732,-0.011304636
2018,9,-0.020341908,0.032291009,-0.004111197,0.079741304
2018,10,0.067830514,-0.236624368,0.03279806,-0.150624097
2018,11,-0.026226439,0.090294915,0.064616072,0.029884117
2018,12,-0.040877324,-0.085298205,-0.072047685,-0.128449121
2019,1,0.028770786,0.182545718,0.106557852,0.106362932
2019,2,0.032975018,0.039573041,0.035050715,0.075767066
2019,3,-0.009447561,0.021501451,0.04004809,-0.029895614
2019,4,0.054444923,-0.005882503,0.02979883,0.110507714
2019,5,-0.008373635,-0.083920333,0.016923923,0.022206699
2019,6,0.089215224,0.085912239,0.033271025,0.073846352
2019,7,-0.000995485,0.074981699,0.016642668,-0.003768596
2019,8,0.040246642,-0.074966769,0.047928557,0.066683649
2019,9,0.038683771,0.072972701,0.060247316,0.015490586
2019,10,-0.011964852,-0.080387702,0.01440823,-0.034302531
2019,11,0.015606107,0.017258572,-0.000762659,0.044454256
2019,12,0.002376809,-0.003049631,0.027584937,-0.004219748
2020,1,-0.036603796,0.072291779,0.10518063,0.099491625
2020,2,-0.059481213,-0.085026996,-0.13490067,-0.130634963
2020,3,0.059832518,-0.147675803,-0.103048409,-0.083596866
2020,4,0.06979391,0.131884955,0.047838938,0.147838934
2020,5,0.025139608,0.008084349,0.017891957,0.004456767
2020,6,-0.034499528,-0.033066474,-0.091466555,-0.060549934
2020,7,0.080313912,0.017967906,0.053230482,0.03850167
2020,8,0.077440903,0.016142619,-0.03324991,0.036076805
2020,9,0.00763412,-0.013299837,0.039095306,-0.017885445
2020,10,-0.008291151,-0.082271903,0.059572135,-0.086490225
2020,11,0.101189321,0.122256061,0.052378744,0.049761106
2020,12,-0.053099669,0.01910618,0.026399349,-0.027452198
2021,1,-0.025389962,-0.053781145,-0.04085948,-0.093413648
2021,2,-0.075236811,0.011831329,-0.02718052,0.034063078
2021,3,0.049854601,0.120491118,0.095909798,0.118849452
2021,4,0.030037678,0.064685346,0.064510938,0.029932336
2021,5,0.019139254,0.024429371,-0.024205333,0.011095548
2021,6,-0.007111232,0.019827579,-0.053347964,-0.010073228
2021,7,0.0108495,-0.038406505,0.055527936,-0.017655705
2021,8,0.042756798,0.007063845,0.03956174,-0.024934625
2021,9,-0.058879137,-0.010047005,-0.0572038,-0.040855938
2021,10,0.072033408,-0.099546487,0.005647896,-0.037032814
2021,11,-0.058827527,-0.007825147,-0.00920491,0.011307545
2021,12,0.033012629,0.141417705,0.122422443,0.066272704
2022,1,-0.033727261,-0.000673405,0.013268982,0.094876254
2022,2,-0.033259288,-0.071754946,-0.058330792,0.122469742
2022,3,0.106066529,0.061301114,0.119499766,0.01751959
2022,4,0.027330211,0.016843649,0.012136259,-0.021024025
2022,5,-0.156169974,0.062886252,0.040481581,0.024859239
2022,6,-0.054808389,0.016926033,-0.057494134,-0.023062379
2022,7,0.086116139,-0.073659727,0.078249851,-0.037561663
2022,8,0.008158183,-0.005517317,0.011167698,0.021955524
2022,9,-0.021501366,-0.075048654,-0.117685218,-0.080502673
